a,b,cat_a,cat_b,same_cat,spread_std,drift_d2_d4,in_sample_pnl,in_sample_n,oos_d4_pnl,oos_d4_n,oos_d4_w,oos_winrate,robustness
SLEEP_POD_SUEDE,MICROCHIP_OVAL,SLEEP_POD,MICROCHIP,0,2276.095719038061,6281.5,11985.0,30,6565.0,10,8,0.8,0.5477680433875678
SLEEP_POD_SUEDE,MICROCHIP_SQUARE,SLEEP_POD,MICROCHIP,0,1064.8706066247903,-1832.5,43860.0,30,18065.0,11,9,0.8181818181818182,0.4118787049703602
SLEEP_POD_SUEDE,MICROCHIP_RECTANGLE,SLEEP_POD,MICROCHIP,0,1574.3027204185223,3028.5,14840.0,35,17660.0,17,15,0.8823529411764706,1.1900269541778976
SLEEP_POD_SUEDE,MICROCHIP_TRIANGLE,SLEEP_POD,MICROCHIP,0,1480.0792057961776,3859.0,35650.0,34,21090.0,14,13,0.9285714285714286,0.5915848527349229
SLEEP_POD_SUEDE,PEBBLES_XS,SLEEP_POD,PEBBLES,0,2281.3628927301816,5762.5,12015.0,35,17335.0,13,11,0.8461538461538461,1.4427798585101956
SLEEP_POD_SUEDE,PEBBLES_S,SLEEP_POD,PEBBLES,0,1556.2232344608033,3734.0,14140.0,28,7140.0,11,8,0.7272727272727273,0.504950495049505
SLEEP_POD_SUEDE,PEBBLES_M,SLEEP_POD,PEBBLES,0,740.1977873902607,1098.5,46625.0,37,32345.0,16,15,0.9375,0.6937265415549598
SLEEP_POD_SUEDE,PEBBLES_L,SLEEP_POD,PEBBLES,0,890.8971607793147,2674.5,250.0,24,1005.0,7,4,0.5714285714285714,4.02
SLEEP_POD_SUEDE,PEBBLES_XL,SLEEP_POD,PEBBLES,0,1375.912381731998,-4267.5,45340.0,35,5515.0,13,10,0.7692307692307693,0.12163652404058227
SLEEP_POD_SUEDE,ROBOT_VACUUMING,SLEEP_POD,ROBOT,0,1367.8084483830492,3525.5,17260.0,31,6815.0,11,8,0.7272727272727273,0.3948435689455388
SLEEP_POD_SUEDE,ROBOT_MOPPING,SLEEP_POD,ROBOT,0,736.7757446252964,213.0,21225.0,33,17510.0,13,11,0.8461538461538461,0.8249705535924617
SLEEP_POD_SUEDE,ROBOT_DISHES,SLEEP_POD,ROBOT,0,647.8779972181353,600.5,30015.0,36,4050.0,10,6,0.6,0.13493253373313344
SLEEP_POD_SUEDE,ROBOT_LAUNDRY,SLEEP_POD,ROBOT,0,1353.6809388430725,2546.0,-5645.0,26,265.0,8,5,0.625,-0.046944198405668734
SLEEP_POD_SUEDE,ROBOT_IRONING,SLEEP_POD,ROBOT,0,1498.0725720571659,3970.5,11610.0,29,5600.0,11,8,0.7272727272727273,0.48234280792420325
SLEEP_POD_SUEDE,UV_VISOR_YELLOW,SLEEP_POD,UV_VISOR,0,988.4119544499482,1729.5,-3320.0,23,7260.0,11,9,0.8181818181818182,-2.0
SLEEP_POD_SUEDE,UV_VISOR_AMBER,SLEEP_POD,UV_VISOR,0,1844.5226920850914,4670.5,-7275.0,23,4305.0,8,6,0.75,-0.5917525773195876
SLEEP_POD_SUEDE,UV_VISOR_ORANGE,SLEEP_POD,UV_VISOR,0,652.1204345182106,2460.0,15625.0,30,-6160.0,9,7,0.7777777777777778,-0.39424
SLEEP_POD_SUEDE,UV_VISOR_RED,SLEEP_POD,UV_VISOR,0,900.374962529914,78.0,14465.0,28,12240.0,13,10,0.7692307692307693,0.8461804355340476
SLEEP_POD_SUEDE,UV_VISOR_MAGENTA,SLEEP_POD,UV_VISOR,0,499.9521018743518,269.0,13290.0,28,555.0,9,6,0.6666666666666666,0.0417607223476298
